date,Sales
2013-01-01,3947356.30999999
2013-02-01,4076985.6
2013-03-01,4206233.82999999
2013-04-01,4230164.29
2013-05-01,4461872.73999999
2013-06-01,3875662.58
2013-07-01,4249384.58
2013-08-01,2928228.91
2013-09-01,3489034.53
2013-10-01,4276524.75
2013-11-01,4051173.86
2013-12-01,4003363.12
2014-01-01,4067346.67
2014-02-01,4513102.84999999
2014-03-01,4565976.16
2014-04-01,4356245.42999999
2014-05-01,4842636.04999999
2014-06-01,4558801.91
2014-07-01,4807423.76
2014-08-01,2973037.52
2014-09-01,3648061.1
2014-10-01,3590982.47
2014-11-01,3293748.12
2014-12-01,3525976.81
2015-01-01,3718261.8
2015-02-01,3590073.7
2015-03-01,4649698.58
2015-04-01,3937762.95
2015-05-01,3655563.15
2015-06-01,4286280.15
2015-07-01,4083681.6
2015-08-01,3052256.05
2015-09-01,3303607.45
2015-10-01,4097590.85
2015-11-01,3668714.85
2015-12-01,3572732.15
2016-01-01,3369135.6
2016-02-01,3618226.3
2016-03-01,2931687.55
