date,Sales,
2013-01-01,166907.57,183.482
2013-02-01,140685.22,330.367
2013-03-01,159316.9,750.618
2013-04-01,179295.95,170.041
2013-05-01,175741.65,307.268
2013-06-01,220876.69,809.129
2013-07-01,142101.26,180.388
2013-08-01,140405.45,318.857
2013-09-01,154773.56,1310.457
2013-10-01,179950.39,189.041
2013-11-01,194881.62,352.085
2013-12-01,200694.95,1065.617
2014-01-01,139593.24,187.728
2014-02-01,144619.53,344.81
2014-03-01,175208.44,1513.342
2014-04-01,181910.4,207.92
2014-05-01,151092.4,373.764
2014-06-01,164419.59,921.716
2014-07-01,181833.87,170.853
2014-08-01,139770.59,334.845
2014-09-01,173861.19,1265.548
2014-10-01,169238.25,170.292
2014-11-01,172209.52,306.223
2014-12-01,190486.77,1280.376
2015-01-01,195201,177.31
2015-02-01,116495.4,337.577
2015-03-01,171654.87,1554.288
2015-04-01,176091.85,189.856
2015-05-01,146318.87,354.384
2015-06-01,168705.28,1389.61
2015-07-01,202965.67,196.943
2015-08-01,117529.03,386.902
2015-09-01,175108.6,1701.203
2015-10-01,164722.15,200.066
,,392.918
,,1211.026
,,170.244
,,327.667
,,1320.833
,,172.619
,,333.778
,,881.556
,,187.959
